,Unnamed: 0,ID,NAME,TYPE_ONE,TYPE_TWO,FAST_MOVE,FAST_MOVE_POWER,FAST_MOVE_TYPE,FAST_ENERGY_BOOST,FAST_MOVE_DURATION,CHARGE_MOVE,CHARGE_MOVE_POWER,CHARGED_MOVE_TYPE,CHARGE_MOVE_ENERGY_COST,CHARGE_MOVE_DURATION,DAMAGE WINDOW START
32,51,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Solar Beam,180.0,Grass,100.0,4.9,2.7
33,42,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
34,49,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Sludge Wave,110.0,Poison,100.0,3.2,2.0
35,48,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
36,47,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
37,46,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
38,45,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Sludge Wave,110.0,Poison,100.0,3.2,2.0
39,44,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Solar Beam,180.0,Grass,100.0,4.9,2.7
40,43,3,Shadow Venusaur,Grass,Poison,Razor Leaf,13.0,Grass,7.0,1.0,Frenzy Plant,100.0,Grass,50.0,2.6,2.145
41,50,3,Shadow Venusaur,Grass,Poison,Vine Whip,7.0,Grass,6.0,0.6,Petal Blizzard,110.0,Grass,100.0,2.6,1.7
60,59,4,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Charge,70.0,Fire,33.0,3.8,2.9
61,58,4,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Charge,70.0,Fire,33.0,3.8,2.9
62,57,4,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
63,56,4,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
64,55,4,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
65,54,4,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Burst,70.0,Fire,50.0,2.6,1.0
66,53,4,Shadow Charmander,Fire,,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
67,52,4,Shadow Charmander,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
80,78,5,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Frustration,10.0,Normal,33.0,2.0,1.0
81,79,5,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Flame Burst,70.0,Fire,50.0,2.6,1.0
82,68,5,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Fire Punch,55.0,Fire,33.0,2.2,1.5
83,69,5,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
84,70,5,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
85,72,5,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Flame Burst,70.0,Fire,50.0,2.6,1.0
86,71,5,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
87,74,5,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Flame Burst,70.0,Fire,50.0,2.6,1.0
88,75,5,Shadow Charmeleon,Fire,,Scratch,6.0,Normal,4.0,0.5,Fire Punch,55.0,Fire,33.0,2.2,1.5
89,76,5,Shadow Charmeleon,Fire,,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
90,77,5,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Flamethrower,70.0,Fire,50.0,2.2,1.5
91,73,5,Shadow Charmeleon,Fire,,Fire Fang,12.0,Fire,8.0,0.9,Fire Punch,55.0,Fire,33.0,2.2,1.5
122,116,6,Shadow Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Overheat,160.0,Fire,100.0,4.0,2.6
123,120,6,Shadow Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Flamethrower,70.0,Fire,50.0,2.2,1.5
124,92,6,Shadow Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Blast Burn,110.0,Fire,50.0,3.3,2.75
125,93,6,Shadow Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Blast Burn,110.0,Fire,50.0,3.3,2.75
126,94,6,Shadow Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Fire Blast,140.0,Fire,100.0,4.2,3.1
127,121,6,Shadow Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
128,96,6,Shadow Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Blast Burn,110.0,Fire,50.0,3.3,2.75
129,97,6,Shadow Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Flamethrower,70.0,Fire,50.0,2.2,1.5
130,98,6,Shadow Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Overheat,160.0,Fire,100.0,4.0,2.6
131,99,6,Shadow Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Blast Burn,110.0,Fire,50.0,3.3,2.75
132,100,6,Shadow Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Overheat,160.0,Fire,100.0,4.0,2.6
133,101,6,Shadow Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Blast Burn,110.0,Fire,50.0,3.3,2.75
134,102,6,Shadow Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Fire Blast,140.0,Fire,100.0,4.2,3.1
135,103,6,Shadow Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Flamethrower,70.0,Fire,50.0,2.2,1.5
136,104,6,Shadow Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Fire Blast,140.0,Fire,100.0,4.2,3.1
137,105,6,Shadow Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
138,95,6,Shadow Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Flamethrower,70.0,Fire,50.0,2.2,1.5
139,107,6,Shadow Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Fire Blast,140.0,Fire,100.0,4.2,3.1
140,106,6,Shadow Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Overheat,160.0,Fire,100.0,4.0,2.6
141,119,6,Shadow Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Fire Blast,140.0,Fire,100.0,4.2,3.1
142,118,6,Shadow Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
143,115,6,Shadow Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Flamethrower,70.0,Fire,50.0,2.2,1.5
144,114,6,Shadow Charizard,Fire,Flying,Ember,10.0,Fire,10.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
145,117,6,Shadow Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
146,112,6,Shadow Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
147,111,6,Shadow Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Frustration,10.0,Normal,33.0,2.0,1.0
148,110,6,Shadow Charizard,Fire,Flying,Air Slash,14.0,Flying,10.0,1.2,Overheat,160.0,Fire,100.0,4.0,2.6
149,109,6,Shadow Charizard,Fire,Flying,Dragon Breath,6.0,Dragon,4.0,0.5,Dragon Claw,50.0,Dragon,33.0,1.7,1.1
150,108,6,Shadow Charizard,Fire,Flying,Fire Spin,14.0,Fire,10.0,1.1,Frustration,10.0,Normal,33.0,2.0,1.0
151,113,6,Shadow Charizard,Fire,Flying,Wing Attack,8.0,Flying,9.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
152,167,7,Shadow Squirtle,Water,,Tackle,5.0,Normal,5.0,0.5,Aqua Jet,45.0,Water,33.0,2.6,1.7
153,161,7,Shadow Squirtle,Water,,Tackle,5.0,Normal,5.0,0.5,Aqua Tail,50.0,Water,33.0,1.9,1.2
154,166,7,Shadow Squirtle,Water,,Tackle,5.0,Normal,5.0,0.5,Water Pulse,70.0,Water,50.0,3.2,2.2
155,165,7,Shadow Squirtle,Water,,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
156,164,7,Shadow Squirtle,Water,,Bubble,12.0,Water,14.0,1.2,Water Pulse,70.0,Water,50.0,3.2,2.2
157,163,7,Shadow Squirtle,Water,,Bubble,12.0,Water,14.0,1.2,Aqua Tail,50.0,Water,33.0,1.9,1.2
158,162,7,Shadow Squirtle,Water,,Bubble,12.0,Water,14.0,1.2,Aqua Jet,45.0,Water,33.0,2.6,1.7
159,160,7,Shadow Squirtle,Water,,Bubble,12.0,Water,14.0,1.2,Frustration,10.0,Normal,33.0,2.0,1.0
168,183,8,Shadow Wartortle,Water,,Bite,6.0,Dark,4.0,0.5,Aqua Jet,45.0,Water,33.0,2.6,1.7
169,182,8,Shadow Wartortle,Water,,Water Gun,5.0,Water,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
170,181,8,Shadow Wartortle,Water,,Water Gun,5.0,Water,5.0,0.5,Aqua Jet,45.0,Water,33.0,2.6,1.7
171,180,8,Shadow Wartortle,Water,,Water Gun,5.0,Water,5.0,0.5,Ice Beam,90.0,Ice,50.0,3.3,1.3
172,179,8,Shadow Wartortle,Water,,Bite,6.0,Dark,4.0,0.5,Ice Beam,90.0,Ice,50.0,3.3,1.3
173,178,8,Shadow Wartortle,Water,,Bite,6.0,Dark,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
174,176,8,Shadow Wartortle,Water,,Bite,6.0,Dark,4.0,0.5,Hydro Pump,130.0,Water,100.0,3.3,0.9
175,177,8,Shadow Wartortle,Water,,Water Gun,5.0,Water,5.0,0.5,Hydro Pump,130.0,Water,100.0,3.3,0.9
196,194,9,Shadow Blastoise,Water,,Bite,6.0,Dark,4.0,0.5,Hydro Cannon,90.0,Water,50.0,1.9,0.5
197,184,9,Shadow Blastoise,Water,,Water Gun,5.0,Water,5.0,0.5,Flash Cannon,100.0,Steel,100.0,2.7,1.6
198,195,9,Shadow Blastoise,Water,,Bite,6.0,Dark,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
199,186,9,Shadow Blastoise,Water,,Water Gun,5.0,Water,5.0,0.5,Hydro Cannon,90.0,Water,50.0,1.9,0.5
200,187,9,Shadow Blastoise,Water,,Bite,6.0,Dark,4.0,0.5,Hydro Pump,130.0,Water,100.0,3.3,0.9
201,188,9,Shadow Blastoise,Water,,Water Gun,5.0,Water,5.0,0.5,Hydro Pump,130.0,Water,100.0,3.3,0.9
202,185,9,Shadow Blastoise,Water,,Water Gun,5.0,Water,5.0,0.5,Skull Bash,130.0,Normal,100.0,3.1,1.8
203,190,9,Shadow Blastoise,Water,,Bite,6.0,Dark,4.0,0.5,Skull Bash,130.0,Normal,100.0,3.1,1.8
204,191,9,Shadow Blastoise,Water,,Bite,6.0,Dark,4.0,0.5,Flash Cannon,100.0,Steel,100.0,2.7,1.6
205,192,9,Shadow Blastoise,Water,,Bite,6.0,Dark,4.0,0.5,Ice Beam,90.0,Ice,50.0,3.3,1.3
206,193,9,Shadow Blastoise,Water,,Water Gun,5.0,Water,5.0,0.5,Ice Beam,90.0,Ice,50.0,3.3,1.3
207,189,9,Shadow Blastoise,Water,,Water Gun,5.0,Water,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
221,221,13,Shadow Weedle,Bug,Poison,Poison Sting,5.0,Poison,7.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
222,222,13,Shadow Weedle,Bug,Poison,Poison Sting,5.0,Poison,7.0,0.6,Struggle,35.0,Normal,0.0,2.2,1.2
223,223,13,Shadow Weedle,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
224,224,13,Shadow Weedle,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Struggle,35.0,Normal,0.0,2.2,1.2
233,229,14,Shadow Kakuna,Bug,Poison,Poison Sting,5.0,Poison,7.0,0.6,Struggle,35.0,Normal,0.0,2.2,1.2
234,231,14,Shadow Kakuna,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
235,230,14,Shadow Kakuna,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Struggle,35.0,Normal,0.0,2.2,1.2
236,232,14,Shadow Kakuna,Bug,Poison,Poison Sting,5.0,Poison,7.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
255,253,15,Shadow Beedrill,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Fell Stinger,50.0,Bug,33.0,2.2,1.8
256,237,15,Shadow Beedrill,Bug,Poison,Infestation,10.0,Bug,14.0,1.1,Aerial Ace,55.0,Flying,33.0,2.4,1.9
257,238,15,Shadow Beedrill,Bug,Poison,Poison Jab,10.0,Poison,7.0,0.8,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
258,239,15,Shadow Beedrill,Bug,Poison,Infestation,10.0,Bug,14.0,1.1,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
259,240,15,Shadow Beedrill,Bug,Poison,Infestation,10.0,Bug,14.0,1.1,Fell Stinger,50.0,Bug,33.0,2.2,1.8
260,241,15,Shadow Beedrill,Bug,Poison,Poison Jab,10.0,Poison,7.0,0.8,Aerial Ace,55.0,Flying,33.0,2.4,1.9
261,242,15,Shadow Beedrill,Bug,Poison,Poison Jab,10.0,Poison,7.0,0.8,X-Scissor,45.0,Bug,33.0,1.6,1.2
262,243,15,Shadow Beedrill,Bug,Poison,Infestation,10.0,Bug,14.0,1.1,X-Scissor,45.0,Bug,33.0,1.6,1.2
263,254,15,Shadow Beedrill,Bug,Poison,Infestation,10.0,Bug,14.0,1.1,Drill Run,80.0,Ground,50.0,2.8,1.7
264,244,15,Shadow Beedrill,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Aerial Ace,55.0,Flying,33.0,2.4,1.9
265,245,15,Shadow Beedrill,Bug,Poison,Poison Jab,10.0,Poison,7.0,0.8,Drill Run,80.0,Ground,50.0,2.8,1.7
266,246,15,Shadow Beedrill,Bug,Poison,Poison Jab,10.0,Poison,7.0,0.8,Fell Stinger,50.0,Bug,33.0,2.2,1.8
267,247,15,Shadow Beedrill,Bug,Poison,Infestation,10.0,Bug,14.0,1.1,Frustration,10.0,Normal,33.0,2.0,1.0
268,248,15,Shadow Beedrill,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Drill Run,80.0,Ground,50.0,2.8,1.7
269,249,15,Shadow Beedrill,Bug,Poison,Poison Jab,10.0,Poison,7.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
270,250,15,Shadow Beedrill,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
271,251,15,Shadow Beedrill,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
272,252,15,Shadow Beedrill,Bug,Poison,Bug Bite,5.0,Bug,6.0,0.5,X-Scissor,45.0,Bug,33.0,1.6,1.2
321,319,19,Shadow Rattata,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
322,309,19,Shadow Alolan Rattata,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
323,305,19,Shadow Alolan Rattata,Dark,Normal,Tackle,5.0,Normal,5.0,0.5,Hyper Fang,80.0,Normal,50.0,2.5,1.5
324,306,19,Shadow Alolan Rattata,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Crunch,70.0,Dark,33.0,3.2,1.3
325,307,19,Shadow Alolan Rattata,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Shadow Ball,100.0,Ghost,50.0,3.0,2.4
326,308,19,Shadow Alolan Rattata,Dark,Normal,Tackle,5.0,Normal,5.0,0.5,Shadow Ball,100.0,Ghost,50.0,3.0,2.4
327,320,19,Shadow Alolan Rattata,Dark,Normal,Tackle,5.0,Normal,5.0,0.5,Crunch,70.0,Dark,33.0,3.2,1.3
328,310,19,Shadow Alolan Rattata,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Hyper Fang,80.0,Normal,50.0,2.5,1.5
329,311,19,Shadow Rattata,Normal,,Tackle,5.0,Normal,5.0,0.5,Hyper Fang,80.0,Normal,50.0,2.5,1.5
330,313,19,Shadow Rattata,Normal,,Tackle,5.0,Normal,5.0,0.5,Dig,100.0,Ground,50.0,4.7,2.8
331,314,19,Shadow Rattata,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Dig,100.0,Ground,50.0,4.7,2.8
332,315,19,Shadow Alolan Rattata,Dark,Normal,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
333,316,19,Shadow Rattata,Normal,,Tackle,5.0,Normal,5.0,0.5,Body Slam,50.0,Normal,33.0,1.9,1.2
334,317,19,Shadow Rattata,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Body Slam,50.0,Normal,33.0,1.9,1.2
335,318,19,Shadow Rattata,Normal,,Tackle,5.0,Normal,5.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
336,312,19,Shadow Rattata,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Hyper Fang,80.0,Normal,50.0,2.5,1.5
353,346,20,Shadow Raticate,Normal,,Bite,6.0,Dark,4.0,0.5,Hyper Fang,80.0,Normal,50.0,2.5,1.5
354,351,20,Shadow Raticate,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Hyper Beam,150.0,Normal,100.0,3.8,3.3
355,352,20,Shadow Alolan Raticate,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
356,337,20,Shadow Raticate,Normal,,Bite,6.0,Dark,4.0,0.5,Dig,100.0,Ground,50.0,4.7,2.8
357,338,20,Shadow Alolan Raticate,Dark,Normal,Bite,6.0,Dark,4.0,0.5,Hyper Fang,80.0,Normal,50.0,2.5,1.5
358,339,20,Shadow Alolan Raticate,Dark,Normal,Bite,6.0,Dark,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
359,340,20,Shadow Alolan Raticate,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Hyper Fang,80.0,Normal,50.0,2.5,1.5
360,341,20,Shadow Alolan Raticate,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Hyper Beam,150.0,Normal,100.0,3.8,3.3
361,342,20,Shadow Alolan Raticate,Dark,Normal,Quick Attack,8.0,Normal,10.0,0.8,Crunch,70.0,Dark,33.0,3.2,1.3
362,344,20,Shadow Alolan Raticate,Dark,Normal,Bite,6.0,Dark,4.0,0.5,Hyper Beam,150.0,Normal,100.0,3.8,3.3
363,345,20,Shadow Raticate,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
364,347,20,Shadow Raticate,Normal,,Bite,6.0,Dark,4.0,0.5,Hyper Beam,150.0,Normal,100.0,3.8,3.3
365,348,20,Shadow Raticate,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Dig,100.0,Ground,50.0,4.7,2.8
366,349,20,Shadow Raticate,Normal,,Bite,6.0,Dark,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
367,350,20,Shadow Raticate,Normal,,Quick Attack,8.0,Normal,10.0,0.8,Hyper Fang,80.0,Normal,50.0,2.5,1.5
368,343,20,Shadow Alolan Raticate,Dark,Normal,Bite,6.0,Dark,4.0,0.5,Crunch,70.0,Dark,33.0,3.2,1.3
395,386,23,Shadow Ekans,Poison,,Poison Sting,5.0,Poison,7.0,0.6,Wrap,60.0,Normal,33.0,2.9,2.05
396,393,23,Shadow Ekans,Poison,,Poison Sting,5.0,Poison,7.0,0.6,Frustration,10.0,Normal,33.0,2.0,1.0
397,392,23,Shadow Ekans,Poison,,Acid,9.0,Poison,8.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
398,391,23,Shadow Ekans,Poison,,Poison Sting,5.0,Poison,7.0,0.6,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
399,390,23,Shadow Ekans,Poison,,Acid,9.0,Poison,8.0,0.8,Gunk Shot,130.0,Poison,100.0,3.1,1.7
400,389,23,Shadow Ekans,Poison,,Poison Sting,5.0,Poison,7.0,0.6,Gunk Shot,130.0,Poison,100.0,3.1,1.7
401,388,23,Shadow Ekans,Poison,,Poison Sting,5.0,Poison,7.0,0.6,Poison Fang,35.0,Poison,33.0,1.7,0.9
402,387,23,Shadow Ekans,Poison,,Acid,9.0,Poison,8.0,0.8,Wrap,60.0,Normal,33.0,2.9,2.05
403,385,23,Shadow Ekans,Poison,,Acid,9.0,Poison,8.0,0.8,Sludge Bomb,80.0,Poison,50.0,2.3,1.1
404,394,23,Shadow Ekans,Poison,,Acid,9.0,Poison,8.0,0.8,Poison Fang,35.0,Poison,33.0,1.7,0.9
420,406,24,Shadow Arbok,Poison,,Dragon Tail,15.0,Dragon,9.0,1.1,Dark Pulse,80.0,Dark,50.0,3.0,1.4
421,418,24,Shadow Arbok,Poison,,Bite,6.0,Dark,4.0,0.5,Sludge Wave,110.0,Poison,100.0,3.2,2.0
422,419,24,Shadow Arbok,Poison,,Bite,6.0,Dark,4.0,0.5,Dark Pulse,80.0,Dark,50.0,3.0,1.4
423,407,24,Shadow Arbok,Poison,,Acid,9.0,Poison,8.0,0.8,Frustration,10.0,Normal,33.0,2.0,1.0
424,408,24,Shadow Arbok,Poison,,Acid,9.0,Poison,8.0,0.8,Gunk Shot,130.0,Poison,100.0,3.1,1.7
425,409,24,Shadow Arbok,Poison,,Acid,9.0,Poison,8.0,0.8,Sludge Wave,110.0,Poison,100.0,3.2,2.0
426,410,24,Shadow Arbok,Poison,,Dragon Tail,15.0,Dragon,9.0,1.1,Sludge Wave,110.0,Poison,100.0,3.2,2.0
427,411,24,Shadow Arbok,Poison,,Bite,6.0,Dark,4.0,0.5,Acid Spray,20.0,Poison,50.0,3.0,2.1
428,405,24,Shadow Arbok,Poison,,Dragon Tail,15.0,Dragon,9.0,1.1,Gunk Shot,130.0,Poison,100.0,3.1,1.7
429,413,24,Shadow Arbok,Poison,,Bite,6.0,Dark,4.0,0.5,Frustration,10.0,Normal,33.0,2.0,1.0
430,414,24,Shadow Arbok,Poison,,Dragon Tail,15.0,Dragon,9.0,1.1,Frustration,10.0,Normal,33.0,2.0,1.0
431,415,24,Shadow Arbok,Poison,,Acid,9.0,Poison,8.0,0.8,Acid Spray,20.0,Poison,50.0,3.0,2.1
432,416,24,Shadow Arbok,Poison,,Dragon Tail,15.0,Dragon,9.0,1.1,Acid Spray,20.0,Poison,50.0,3.0,2.1
433,412,24,Shadow Arbok,Poison,,Bite,6.0,Dark,4.0,0.5,Gunk Shot,130.0,Poison,100.0,3.1,1.7
434,417,24,Shadow Arbok,Poison,,Acid,9.0,Poison,8.0,0.8,Dark Pulse,80.0,Dark,50.0,3.0,1.4
541,524,27,Shadow Alolan Sandshrew,Ice,Steel,Powder Snow,6.0,Ice,15.0,1.0,Night Slash,50.0,Dark,33.0,2.2,1.3
542,539,27,Shadow Sandshrew,Ground,,Scratch,6.0,Normal,4.0,0.5,Sand Tomb,60.0,Ground,33.0,4.0,1.7
543,523,27,Shadow Alolan Sandshrew,Ice,Steel,Powder Snow,6.0,Ice,15.0,1.0,Blizzard,130.0,Ice,100.0,3.1,1.5
544,525,27,Shadow Alolan Sandshrew,Ice,Steel,Powder Snow,6.0,Ice,15.0,1.0,Frustration,10.0,Normal,33.0,2.0,1.0
