#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
0038,Ninetales,Fire,169,190,177,10%,6%,Feint AttackFire SpinEmber (legacy),Heat WaveOverheatPsyshockScorching SandsSolar BeamWeather Ball - FireFire Blast (legacy)Flamethrower (legacy)Frustration (Shadow)Return (Purified)
0038,Ninetales Alolan Ninetales,Ice Fairy,170,193,177,10%,6%,CharmFeint AttackPowder Snow,BlizzardDazzling GleamIce BeamPsyshockWeather Ball - IceFrustration (Shadow)Return (Purified)
0039,Jigglypuff,Normal Fairy,80,41,251,50%,10%,Feint AttackPound,Dazzling GleamDisarming VoiceGyro BallBody Slam (legacy)Play Rough (legacy)
0040,Wigglytuff,Normal Fairy,156,90,295,20%,6%,CharmFeint AttackPound,Dazzling GleamDisarming VoiceHyper BeamIce BeamIcy WindPlay Rough
0041,Zubat,Poison Flying,83,73,120,50%,20%,BiteQuick Attack,Air CutterPoison FangSwiftSludge Bomb (legacy)Frustration (Shadow)Return (Purified)
0042,Golbat,Poison Flying,161,150,181,20%,7%,BiteWing Attack,Air CutterPoison FangShadow BallOminous Wind (legacy)Frustration (Shadow)Return (Purified)
0043,Oddish,Grass Poison,131,112,128,60%,15%,AcidRazor Leaf,MoonblastSeed BombSludge BombFrustration (Shadow)Return (Purified)
0044,Gloom,Grass Poison,153,136,155,30%,7%,AcidRazor Leaf,MoonblastPetal BlizzardSludge BombFrustration (Shadow)Return (Purified)
0045,Vileplume,Grass Poison,202,167,181,15%,5%,AcidRazor Leaf,MoonblastPetal BlizzardSludge BombSolar BeamFrustration (Shadow)Return (Purified)
0046,Paras,Bug Grass,121,99,111,40%,15%,Bug BiteScratch,Cross PoisonSeed BombX-Scissor
0047,Parasect,Bug Grass,165,146,155,20%,7%,Fury CutterStruggle BugBug Bite (legacy),Cross PoisonSolar BeamX-Scissor
0048,Venonat,Bug Poison,100,100,155,50%,15%,Bug BiteConfusion,Poison FangPsybeamSignal BeamFrustration (Shadow)Return (Purified)
0049,Venomoth,Bug Poison,179,143,172,20%,7%,ConfusionInfestationBug Bite (legacy),Bug BuzzPoison FangPsychicSilver WindFrustration (Shadow)Return (Purified)
0050,Diglett,Ground,109,78,67,50%,10%,Mud-SlapScratch,DigMud BombRock TombFrustration (Shadow)Return (Purified)
0050,Diglett Alolan Diglett,Ground Steel,108,81,67,50%,10%,Metal ClawMud-Slap,DigMud BombRock TombFrustration (Shadow)Return (Purified)
0051,Dugtrio,Ground,167,134,111,20%,6%,Mud-SlapSucker Punch,EarthquakeMud BombStone EdgeFrustration (Shadow)Return (Purified)
0051,Dugtrio Alolan Dugtrio,Ground Steel,201,142,111,20%,6%,Metal ClawMud-Slap,EarthquakeIron HeadMud BombFrustration (Shadow)Return (Purified)
0052,Meowth,Normal,92,78,120,50%,15%,BiteScratch,Dark PulseFoul PlayNight SlashBody Slam (legacy)Frustration (Shadow)Return (Purified)
0052,Meowth Alolan Meowth,Dark,99,78,120,50%,15%,BiteScratch,Dark PulseFoul PlayNight SlashTrailblazeFrustration (Shadow)Return (Purified)
0052,Meowth Galarian Meowth,Steel,115,92,137,45%,10%,Metal ClawScratch,DigGyro BallNight SlashTrailblazeFrustration (Shadow)Return (Purified)
0053,Persian,Normal,150,136,163,20%,7%,Feint AttackScratch,Foul PlayPaybackPlay RoughPower GemNight Slash (legacy)Frustration (Shadow)Return (Purified)
0053,Persian Alolan Persian,Dark,158,136,163,20%,7%,Feint AttackScratch,Dark PulseFoul PlayPaybackPlay RoughTrailblazeFrustration (Shadow)Return (Purified)
0054,Psyduck,Water,122,95,137,50%,10%,Water GunZen Headbutt,Aqua TailCross ChopPsybeamFrustration (Shadow)Return (Purified)
0055,Golduck,Water,191,162,190,20%,6%,ConfusionWater Gun,Bubble BeamCross ChopHydro PumpIce BeamLiquidationPsychicSynchronoiseFrustration (Shadow)Return (Purified)
0056,Mankey,Fighting,148,82,120,50%,10%,Karate ChopScratch,Brick BreakCross ChopLow Sweep
0057,Primeape,Fighting,207,138,163,20%,6%,CounterLow KickKarate Chop (legacy),Close CombatIce PunchLow SweepNight SlashCross Chop (legacy)
0058,Growlithe,Fire,136,93,146,30%,10%,BiteEmber,Body SlamFlame WheelFlamethrowerFrustration (Shadow)Return (Purified)
0058,Growlithe Hisuian Growlithe,Fire Rock,142,92,155,30%,10%,BiteEmber,CrunchFlamethrowerRock SlideFrustration (Shadow)Return (Purified)
0059,Arcanine,Fire,227,166,207,10%,6%,Fire FangSnarlThunder FangBite (legacy),CrunchFire BlastFlamethrowerPsychic FangsScorching SandsWild ChargeBulldoze (legacy)Frustration (Shadow)Return (Purified)
0059,Arcanine Hisuian Arcanine,Fire Rock,232,165,216,10%,6%,Fire FangRock SmashSnarl,CrunchFlamethrowerRock SlideWild ChargeFrustration (Shadow)Return (Purified)
0060,Poliwag,Water,101,82,120,50%,15%,BubbleMud Shot,Body SlamBubble BeamMud BombFrustration (Shadow)Return (Purified)
0061,Poliwhirl,Water,130,123,163,25%,7%,BubbleMud Shot,Bubble BeamMud BombWater PulseScald (legacy)Frustration (Shadow)Return (Purified)
0062,Poliwrath,Water Fighting,182,184,207,12.5%,5%,BubbleMud ShotRock SmashCounter (Community Day),Dynamic PunchHydro PumpIce PunchIcy WindPower-Up PunchScaldSubmission (legacy)Frustration (Shadow)Return (Purified)
0063,Abra,Psychic,195,82,93,50%,99%,Charge BeamZen Headbutt,PsyshockShadow BallSignal BeamFrustration (Shadow)Return (Purified)
0064,Kadabra,Psychic,232,117,120,25%,7%,ConfusionPsycho Cut,Dazzling GleamPsybeamShadow BallFrustration (Shadow)Return (Purified)
0065,Alakazam,Psychic,271,167,146,10%,5%,ConfusionPsycho CutCounter (Community Day),Fire PunchFocus BlastFuture SightShadow BallDazzling Gleam (legacy)Psychic (legacy)Frustration (Shadow)Return (Purified)
0065,Alakazam Mega Alakazam,Psychic,367,207,146,10%,5%,,
0066,Machop,Fighting,137,82,172,50%,10%,Karate ChopRock SmashLow Kick (legacy),Brick BreakCross ChopLow SweepFrustration (Shadow)Return (Purified)
0067,Machoke,Fighting,177,125,190,25%,7%,Karate ChopLow Kick,Brick BreakDynamic PunchSubmissionCross Chop (legacy)Frustration (Shadow)Return (Purified)
0068,Machamp,Fighting,234,159,207,10%,5%,Bullet PunchCounterKarate Chop (legacy),Close CombatCross ChopDynamic PunchHeavy SlamRock SlideStone Edge (legacy)Submission (legacy)Payback (Community Day)Frustration (Shadow)Return (Purified)
0069,Bellsprout,Grass Poison,139,61,137,50%,15%,AcidVine Whip,Power WhipSludge BombWrapFrustration (Shadow)Return (Purified)
0070,Weepinbell,Grass Poison,172,92,163,25%,7%,AcidBullet SeedRazor Leaf (legacy),Power WhipSeed BombSludge BombFrustration (Shadow)Return (Purified)
0071,Victreebel,Grass Poison,207,135,190,12.5%,5%,AcidRazor Leaf,Acid SprayLeaf BladeLeaf TornadoSludge BombSolar BeamFrustration (Shadow)Return (Purified)
0072,Tentacool,Water Poison,97,149,120,50%,15%,BubblePoison Sting,Bubble BeamWater PulseWrapFrustration (Shadow)Return (Purified)
0073,Tentacruel,Water Poison,166,209,190,20%,7%,AcidPoison Jab,Acid SprayBlizzardHydro PumpScaldSludge WaveFrustration (Shadow)Return (Purified)
0074,Geodude,Rock Ground,132,132,120,50%,10%,Rock ThrowTackle,DigRock SlideRock TombFrustration (Shadow)Return (Purified)
0074,Geodude Alolan Geodude,Rock Electric,132,132,120,50%,10%,Rock ThrowVolt Switch,Rock SlideRock TombThunderboltFrustration (Shadow)Return (Purified)
0075,Graveler,Rock Ground,164,164,146,25%,7%,Mud-SlapRock Throw,DigRock BlastStone EdgeRock Slide (legacy)Frustration (Shadow)Return (Purified)
0075,Graveler Alolan Graveler,Rock Electric,164,164,146,25%,7%,Rock ThrowVolt Switch,Rock BlastStone EdgeThunderboltFrustration (Shadow)Return (Purified)
0076,Golem,Rock Ground,211,198,190,12.5%,5%,Mud-SlapRock Throw,Ancient PowerEarthquakeRock BlastStone EdgeFrustration (Shadow)Return (Purified)
0076,Golem Alolan Golem,Rock Electric,211,198,190,12.5%,5%,Rock ThrowVolt SwitchRollout (Community Day),Rock BlastStone EdgeWild ChargeFrustration (Shadow)Return (Purified)
0077,Ponyta,Fire,170,127,137,40%,10%,EmberTackle,Flame ChargeFlame WheelStompFire Blast (legacy)Frustration (Shadow)Return (Purified)
0077,Ponyta Galarian Ponyta,Psychic,170,127,137,40%,10%,Low KickPsycho Cut,Play RoughPsybeamSwiftFrustration (Shadow)Return (Purified)
0078,Rapidash,Fire,207,162,163,15%,6%,Fire SpinIncinerateLow KickEmber (legacy),Drill RunFire BlastFlame ChargeHeat WaveScorching SandsFrustration (Shadow)Return (Purified)
0078,Rapidash Galarian Rapidash,Psychic Fairy,207,162,163,20%,6%,Fairy WindLow KickPsycho Cut,Body SlamHigh HorsepowerMegahornPlay RoughPsychicFrustration (Shadow)Return (Purified)
0079,Slowpoke,Water Psychic,109,98,207,50%,10%,ConfusionWater Gun,PsychicPsyshockWater PulseFrustration (Shadow)Return (Purified)
0079,Slowpoke Galarian Slowpoke,Psychic,109,98,207,50%,10%,ConfusionIron Tail,PsychicPsyshockSurfFrustration (Shadow)Return (Purified)
0080,Slowbro,Water Psychic,177,180,216,20%,6%,ConfusionWater Gun,Ice BeamPsychicScaldWater PulseSurf (Community Day)Frustration (Shadow)Return (Purified)
0080,Slowbro Mega Slowbro,Water Psychic,224,259,216,20%,6%,,
0080,Slowbro Galarian Slowbro,Poison Psychic,182,156,216,20%,6%,ConfusionPoison Jab,Focus BlastPsychicScaldSludge BombSurf (Community Day)Frustration (Shadow)Return (Purified)
0081,Magnemite,Electric Steel,165,121,93,50%,10%,SparkThunder ShockVolt Switch,DischargeMagnet BombThunderboltFrustration (Shadow)Return (Purified)
0082,Magneton,Electric Steel,223,169,137,20%,6%,Charge BeamSparkThunder ShockVolt Switch,DischargeFlash CannonMagnet BombZap CannonFrustration (Shadow)Return (Purified)
0083,Farfetch'd,Normal Flying,124,115,141,30%,9%,Air SlashFury CutterCut (legacy),Aerial AceAir CutterLeaf BladeFrustration (Shadow)Return (Purified)
0083,Farfetch'd Galarian Farfetch'd,Fighting,174,114,141,30%,9%,Fury CutterRock Smash,Brave BirdBrick BreakLeaf BladeFrustration (Shadow)Return (Purified)
0084,Doduo,Normal Flying,158,83,111,50%,10%,PeckQuick Attack,Aerial AceBrave BirdDrill PeckSwift (legacy)
0085,Dodrio,Normal Flying,218,140,155,20%,6%,Feint AttackSteel Wing,Aerial AceBrave BirdDrill PeckAir Cutter (legacy)
0086,Seel,Water,85,121,163,50%,9%,Ice ShardLickWater Gun (legacy),Aqua TailAurora BeamIcy WindAqua Jet (legacy)
0087,Dewgong,Water Ice,139,177,207,20%,6%,Frost BreathIron TailIce Shard (legacy),Aurora BeamBlizzardDrill RunLiquidationWater PulseAqua Jet (legacy)Icy Wind (legacy)
0088,Grimer,Poison,135,90,190,50%,10%,Mud-SlapPoison Jab,Mud BombSludgeSludge BombFrustration (Shadow)Return (Purified)
0088,Grimer Alolan Grimer,Poison Dark,135,90,190,50%,10%,BitePoison Jab,CrunchGunk ShotSludge BombFrustration (Shadow)Return (Purified)
0089,Muk,Poison,190,172,233,20%,6%,InfestationPoison JabLick (legacy),Acid SprayDark PulseGunk ShotSludge WaveThunder PunchFrustration (Shadow)Return (Purified)
0089,Muk Alolan Muk,Poison Dark,190,172,233,20%,6%,BitePoison JabSnarl,Acid SprayDark PulseGunk ShotSludge WaveFrustration (Shadow)Return (Purified)
0090,Shellder,Water,116,134,102,50%,10%,Ice ShardTackle,Bubble BeamIcy WindRazor ShellWater PulseFrustration (Shadow)Return (Purified)
0091,Cloyster,Water Ice,186,256,137,20%,6%,Frost BreathIce Shard,Aurora BeamAvalancheHydro PumpIcy WindLiquidationRazor ShellBlizzard (legacy)Frustration (Shadow)Return (Purified)
0092,Gastly,Ghost Poison,186,67,102,40%,10%,AstonishLickSucker Punch (legacy),Dark PulseNight ShadeSludge BombOminous Wind (legacy)Frustration (Shadow)Return (Purified)
0093,Haunter,Ghost Poison,223,107,128,20%,7%,AstonishShadow ClawLick (legacy),Dark PulseIce PunchShadow BallShadow PunchSludge BombFrustration (Shadow)Return (Purified)
0094,Gengar,Ghost Poison,261,149,155,10%,5%,HexShadow ClawSucker PunchLick (legacy),Focus BlastShadow BallSludge BombDark Pulse (legacy)Psychic (legacy)Sludge Wave (legacy)Shadow Punch (Community Day)Frustration (Shadow)Return (Purified)
0094,Gengar Mega Gengar,Ghost Poison,349,199,155,10%,5%,,
0095,Onix,Rock Ground,85,232,111,20%,9%,Rock ThrowTackle,Breaking SwipeHeavy SlamSand TombStone EdgeIron Head (legacy)Rock Slide (legacy)Frustration (Shadow)Return (Purified)
0096,Drowzee,Psychic,89,136,155,50%,10%,ConfusionPound,PsybeamPsychicPsyshockFrustration (Shadow)Return (Purified)
0097,Hypno,Psychic,144,193,198,20%,6%,ConfusionZen Headbutt,Fire PunchFocus BlastFuture SightIce PunchPsychicShadow BallThunder PunchPsyshock (legacy)Frustration (Shadow)Return (Purified)
0098,Krabby,Water,181,124,102,50%,15%,BubbleMud Shot,Bubble BeamRazor ShellVise GripWater PulseFrustration (Shadow)Return (Purified)
0099,Kingler,Water,240,181,146,20%,7%,BubbleMetal ClawMud Shot (legacy),CrabhammerRazor ShellVise GripWater PulseX-ScissorFrustration (Shadow)Return (Purified)
0100,Voltorb,Electric,109,111,120,50%,10%,SparkTackle,DischargeGyro BallThunderboltSignal Beam (legacy)Frustration (Shadow)Return (Purified)
0100,Voltorb Hisuian Voltorb,Electric Grass,109,111,120,50%,10%,Charge BeamTackle,Energy BallSwiftThunderboltFrustration (Shadow)Return (Purified)
0101,Electrode,Electric,173,173,155,20%,6%,SparkVolt SwitchTackle (legacy),DischargeFoul PlayHyper BeamThunderboltFrustration (Shadow)Return (Purified)
0101,Electrode Hisuian Electrode,Electric Grass,176,176,155,20%,6%,TackleThunder Shock,Energy BallSwiftWild ChargeFrustration (Shadow)Return (Purified)
0102,Exeggcute,Grass Psychic,107,125,155,50%,10%,Bullet SeedConfusion,Ancient PowerPsychicSeed BombFrustration (Shadow)Return (Purified)
0103,Exeggutor,Grass Psychic,233,149,216,20%,6%,Bullet SeedConfusionExtrasensoryZen Headbutt (legacy),PsychicSeed BombSolar BeamFrustration (Shadow)Return (Purified)
0103,Exeggutor Alolan Exeggutor,Grass Dragon,230,153,216,20%,6%,Bullet SeedDragon Tail,Dragon PulseSeed BombSolar BeamDraco Meteor (legacy)Frustration (Shadow)Return (Purified)
0104,Cubone,Ground,90,144,137,40%,10%,Mud-SlapRock Smash,Bone ClubBulldozeDigFrustration (Shadow)Return (Purified)
0105,Marowak,Ground,144,186,155,15%,6%,Mud-SlapRock Smash,Bone ClubDigEarthquakeRock SlideFrustration (Shadow)Return (Purified)
0105,Marowak Alolan Marowak,Fire Ghost,144,186,155,15%,6%,Fire SpinHexRock Smash,Bone ClubFire BlastFlame WheelShadow BallShadow Bone (legacy)Frustration (Shadow)Return (Purified)
0106,Hitmonlee,Fighting,224,181,137,20%,9%,Double KickLow KickRock Smash,Blaze KickClose CombatLow SweepStone EdgeBrick Break (legacy)Stomp (legacy)Frustration (Shadow)Return (Purified)
0107,Hitmonchan,Fighting,193,197,137,20%,9%,Bullet PunchCounterRock Smash (legacy),Close CombatFire PunchIce PunchPower-Up PunchThunder PunchBrick Break (legacy)Frustration (Shadow)Return (Purified)
0108,Lickitung,Normal,108,137,207,20%,9%,LickZen Headbutt,Hyper BeamPower WhipStompBody Slam (legacy)
0109,Koffing,Poison,119,141,120,50%,10%,InfestationTackle,Dark PulseSludgeSludge BombFrustration (Shadow)Return (Purified)
0110,Weezing,Poison,174,197,163,20%,6%,InfestationTackle,Dark PulseShadow BallSludge BombThunderboltFrustration (Shadow)Return (Purified)
0110,Weezing Galarian Weezing,Poison Fairy,174,197,163,20%,6%,Fairy WindTackle,Brutal SwingHyper BeamOverheatPlay RoughSludgeFrustration (Shadow)Return (Purified)
0111,Rhyhorn,Ground Rock,140,127,190,50%,10%,Mud-SlapRock Smash,BulldozeHorn AttackStompFrustration (Shadow)Return (Purified)
0112,Rhydon,Ground Rock,222,171,233,5%,6%,Mud-SlapRock Smash,Breaking SwipeEarthquakeStone EdgeSurfMegahorn (legacy)Frustration (Shadow)Return (Purified)
0113,Chansey,Normal,60,128,487,20%,9%,PoundZen Headbutt,Dazzling GleamHyper BeamPsychic
0114,Tangela,Grass,183,169,163,40%,9%,InfestationVine Whip,Grass KnotSludge BombSolar BeamPower Whip (legacy)Frustration (Shadow)Return (Purified)
0115,Kangaskhan,Normal,181,165,233,20%,9%,Low KickMud-Slap,CrunchEarthquakeOutragePower-Up PunchBrick Break (legacy)Stomp (legacy)Frustration (Shadow)Return (Purified)
0115,Kangaskhan Mega Kangaskhan,Normal,246,210,233,20%,9%,,
0116,Horsea,Water,129,103,102,50%,10%,BubbleWater Gun,Bubble BeamDragon PulseFlash CannonFrustration (Shadow)Return (Purified)
0117,Seadra,Water,187,156,146,20%,6%,Dragon BreathWater Gun,Aurora BeamDragon PulseHydro PumpBlizzard (legacy)Frustration (Shadow)Return (Purified)
0118,Goldeen,Water,123,110,128,50%,15%,Mud ShotPeck,Aqua TailHorn AttackWater Pulse
0119,Seaking,Water,175,147,190,20%,7%,PeckWaterfallPoison Jab (legacy),Ice BeamMegahornWater PulseDrill Run (legacy)Icy Wind (legacy)
0120,Staryu,Water,137,112,102,50%,15%,TackleWater Gun,Bubble BeamPower GemSwift
0121,Starmie,Water Psychic,210,184,155,20%,6%,Hidden PowerWater GunTackle (legacy),Hydro PumpIce BeamPower GemPsychicThunder
0122,Mr. Mime,Psychic Fairy,192,205,120,30%,9%,ConfusionMagical LeafZen Headbutt,PsybeamPsychicShadow BallFrustration (Shadow)Return (Purified)
0122,Mr. Mime Galarian Mr. Mime,Ice Psychic,183,169,137,30%,9%,ConfusionZen Headbutt,Ice PunchPsybeamPsychicTriple AxelFrustration (Shadow)Return (Purified)
0123,Scyther,Bug Flying,218,170,172,30%,9%,Air SlashFury CutterSteel Wing (legacy),Aerial AceNight SlashTrailblazeX-ScissorBug Buzz (legacy)Frustration (Shadow)Return (Purified)
0124,Jynx,Ice Psychic,223,151,163,30%,9%,ConfusionFrost BreathPound (legacy),AvalancheDraining KissFocus BlastPsyshockIce Punch (legacy)
0125,Electabuzz,Electric,198,158,163,20%,9%,Low KickThunder Shock,ThunderThunder PunchThunderboltFrustration (Shadow)Return (Purified)
0126,Magmar,Fire,206,154,163,20%,9%,EmberKarate Chop,Fire BlastFire PunchFlamethrowerScorching SandsFrustration (Shadow)Return (Purified)
0127,Pinsir,Bug,238,182,163,30%,9%,Bug BiteFury CutterRock Smash,Close CombatSuperpowerVise GripX-ScissorSubmission (legacy)Frustration (Shadow)Return (Purified)
0127,Pinsir Mega Pinsir,Bug Flying,305,231,163,30%,9%,,
0128,Tauros,Normal,198,183,181,30%,9%,TackleZen Headbutt,EarthquakeHorn AttackIron HeadTrailblaze
0129,Magikarp,Water,29,85,85,70%,15%,Splash,StruggleFrustration (Shadow)Return (Purified)
0130,Gyarados,Water Flying,237,186,216,10%,7%,BiteDragon BreathWaterfallDragon Tail (legacy),CrunchHydro PumpOutrageTwisterDragon Pulse (legacy)Aqua Tail (Community Day)Frustration (Shadow)Return (Purified)
0130,Gyarados Mega Gyarados,Water Dark,292,247,216,10%,7%,,
0131,Lapras,Water Ice,165,174,277,5%,9%,Frost BreathWater GunIce Shard (legacy),BlizzardHydro PumpSkull BashSurfDragon Pulse (legacy)Ice Beam (legacy)Frustration (Shadow)Return (Purified)
0132,Ditto,Normal,91,91,134,20%,10%,Transform,Struggle
0133,Eevee,Normal,104,114,146,40%,10%,Quick AttackTackle,DigSwiftBody Slam (legacy)Last Resort (Community Day)
0134,Vaporeon,Water,205,161,277,12.5%,6%,Water Gun,Aqua TailHydro PumpLiquidationWater PulseLast Resort (Community Day)Scald (Community Day)
0135,Jolteon,Electric,232,182,163,12.5%,6%,Thunder ShockVolt Switch,DischargeThunderThunderboltLast Resort (Community Day)Zap Cannon (Community Day)
